Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
211-2010,-8.37,-0.58,0.028,0.022,y,9/9/2010,2010,Tammy Rose,,53,134.62,100-149,,,,,2,Y,Y,Whole,Whole,0.0681,0.0705,1.349,0.376,1.389,0.373,R
203-2010,-7.06,-1.19,0.029,0.087,y,8/27/2010,2010,Tammy Rose,,55,139.7,100-149,,,,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.346,NA,0.333,R
316-2010,-7.7,-0.63,0.025,0.019,y,8/14/2010,2010,,,68.8976378,175,150-199,,,,M,2,Y,Y,Whole,Broken tip (pieces included),0.096,0.0993,1.568,0.413,NA,0.413,R
247-2010,-9.32,-1.08,0.016,0.035,y,10/17/2010,2010,Dixie Lynn,,73,185.42,150-199,165,206.25,93.555,,2,Y,Y,Whole,Whole,0.117,0.1151,1.544,0.45,1.571,0.461,R
116-2010,-8.35,-1.2,0.021,0.045,y,8/31/2010,2010,Frank L Randall,,73,185.42,150-199,171,213.75,96.957,F,2,Y,Y,Broken tip,Whole,0.0978,0.0977,1.424,0.428,1.488,0.424,L
131-2010,-8.08,-0.84,0.038,0.024,y,9/6/2010,2010,Sarah Kelly,,73,185.42,150-199,148,185,83.916,,2,Y,Y,Whole,Whole,0.0979,0.094,1.499,0.408,1.493,0.424,L
179-2010,-8.01,-0.77,0.004,0.039,y,9/18/2010,2010,Sarah Beth,,73,185.42,150-199,153,191.25,86.751,M,2,Y,Y,Whole,Whole,0.1176,0.1112,1.589,0.461,1.653,0.443,L
047-2010,-7.95,-0.8,0.045,0.021,y,8/6/2010,2010,,,73,185.42,150-199,142,177.5,80.514,,2,Y,Y,Broken tip,Whole,NA,0.0944,NA,0.443,1.642,0.429,L
276-2010,-7.95,-1.53,0.03,0.011,y,7/7/2010,2010,Mayflower,,73,185.42,150-199,147,183.75,83.349,,2,Y,Y,Whole,Whole,0.1114,0.1089,1.544,0.403,1.581,0.411,L
275-2010,-7.92,-1.14,0.012,0.083,y,7/15/2010,2010,Toro,,73,185.42,150-199,128,160,72.576,,2,Y,Y,Whole,Broken tip,0.1026,NA,1.536,0.421,NA,0.423,L
202-2010,-7.81,-0.87,0.003,0.07,y,9/20/2010,2010,Janice Marie,,73,185.42,150-199,162,202.5,91.854,,2,Y,Y,Whole,Whole,0.1162,0.1191,1.76,0.416,1.781,0.413,L
130-2010,-7.7,-0.81,0.008,0.055,y,9/6/2010,2010,Sandy Lynn,,73,185.42,150-199,163,203.75,92.421,,2,Y,Y,Whole,Whole,0.1013,0.1005,1.638,0.432,1.649,0.437,R
