Year,Location,Size,d13C,d18O,Populations
2011,Balearic,Yearling,-9.563,-1.100,East
2011,Balearic,Yearling,-8.758,-0.918,East
2011,Balearic,Yearling,-9.346,-0.883,East
2011,Balearic,Yearling,-9.426,-0.868,East
2011,Balearic,Yearling,-8.681,-0.858,East
2011,Balearic,Yearling,-9.691,-0.813,East
2011,Balearic,Yearling,-9.591,-0.782,East
2011,Balearic,Yearling,-8.400,-0.755,East
2011,Balearic,Yearling,-8.540,-0.690,East
2011,Balearic,Yearling,-8.952,-0.667,East
2011,Balearic,Yearling,-8.040,-0.650,East
2011,Balearic,Yearling,-7.750,-0.630,East
2011,Balearic,Yearling,-8.414,-0.534,East
2011,Balearic,Yearling,-8.453,-0.496,East
2011,Balearic,Yearling,-8.476,-0.482,East
2011,Balearic,Yearling,-8.084,-0.480,East
2011,Balearic,Yearling,-8.142,-1.305,East
2004,Bay of Biscay,Yearling,-8.794,-0.831,East
2004,Bay of Biscay,Yearling,-8.203,-0.629,East
2004,Bay of Biscay,Yearling,-8.285,-0.567,East
2004,Bay of Biscay,Yearling,-8.502,-0.566,East
2005,Bay of Biscay,Yearling,-9.028,-1.018,East
2005,Bay of Biscay,Yearling,-8.379,-1.010,East
2005,Bay of Biscay,Yearling,-8.963,-0.982,East
2005,Bay of Biscay,Yearling,-8.564,-0.966,East
2005,Bay of Biscay,Yearling,-8.413,-0.872,East
2005,Bay of Biscay,Yearling,-8.291,-0.733,East
2005,Bay of Biscay,Yearling,-8.367,-0.722,East
2005,Bay of Biscay,Yearling,-7.552,-0.674,East
2005,Bay of Biscay,Yearling,-8.737,-0.605,East
2005,Bay of Biscay,Yearling,-8.129,-0.566,East
2006,Bay of Biscay,Yearling,-9.046,-1.236,East
2006,Bay of Biscay,Yearling,-9.379,-1.169,East
2006,Bay of Biscay,Yearling,-8.860,-0.967,East
2006,Bay of Biscay,Yearling,-9.066,-0.942,East
2006,Bay of Biscay,Yearling,-8.824,-0.882,East
2006,Bay of Biscay,Yearling,-8.601,-0.873,East
2006,Bay of Biscay,Yearling,-8.391,-0.849,East
2006,Bay of Biscay,Yearling,-9.030,-0.830,East
2009,Bay of Biscay,Yearling,-8.016,-1.049,East
2009,Bay of Biscay,Yearling,-8.414,-0.927,East
2009,Bay of Biscay,Yearling,-8.321,-0.689,East
2010,Bay of Biscay,Yearling,-8.798,-1.011,East
2010,Bay of Biscay,Yearling,-9.522,-0.947,East
2010,Bay of Biscay,Yearling,-8.439,-0.904,East
2010,Bay of Biscay,Yearling,-9.203,-0.829,East
2010,Bay of Biscay,Yearling,-8.094,-0.825,East
2010,Bay of Biscay,Yearling,-8.234,-0.823,East
2010,Bay of Biscay,Yearling,-9.071,-0.820,East
2010,Bay of Biscay,Yearling,-8.951,-0.805,East
2010,Bay of Biscay,Yearling,-8.529,-0.804,East
2010,Bay of Biscay,Yearling,-8.805,-0.768,East
2010,Bay of Biscay,Yearling,-9.517,-0.756,East
2010,Bay of Biscay,Yearling,-8.443,-0.742,East
2010,Bay of Biscay,Yearling,-8.651,-0.732,East
2010,Bay of Biscay,Yearling,-8.478,-0.721,East
2010,Bay of Biscay,Yearling,-8.186,-0.717,East
2010,Bay of Biscay,Yearling,-8.774,-0.716,East
2010,Bay of Biscay,Yearling,-8.555,-0.707,East
2010,Bay of Biscay,Yearling,-9.027,-0.688,East
2010,Bay of Biscay,Yearling,-8.288,-0.643,East
2010,Bay of Biscay,Yearling,-8.518,-0.545,East
2010,Bay of Biscay,Yearling,-8.264,-0.518,East
2010,Bay of Biscay,Yearling,-8.231,-0.334,East
2011,Bay of Biscay,Yearling,-9.046,-1.121,East
2011,Bay of Biscay,Yearling,-9.329,-1.107,East
2011,Bay of Biscay,Yearling,-8.699,-1.089,East
2011,Bay of Biscay,Yearling,-9.559,-1.071,East
2011,Bay of Biscay,Yearling,-8.359,-1.041,East
2011,Bay of Biscay,Yearling,-8.894,-1.039,East
2011,Bay of Biscay,Yearling,-8.863,-1.009,East
2011,Bay of Biscay,Yearling,-8.834,-0.972,East
2011,Bay of Biscay,Yearling,-8.602,-0.919,East
2011,Bay of Biscay,Yearling,-7.975,-0.905,East
2011,Bay of Biscay,Yearling,-9.075,-0.896,East
2011,Bay of Biscay,Yearling,-8.785,-0.895,East
2011,Bay of Biscay,Yearling,-9.189,-0.886,East
2011,Bay of Biscay,Yearling,-8.319,-0.853,East
2011,Bay of Biscay,Yearling,-9.217,-0.822,East
2011,Bay of Biscay,Yearling,-9.279,-0.821,East
2011,Bay of Biscay,Yearling,-9.283,-0.815,East
2011,Bay of Biscay,Yearling,-8.579,-0.812,East
2011,Bay of Biscay,Yearling,-8.708,-0.809,East
2011,Bay of Biscay,Yearling,-8.650,-0.801,East
2011,Bay of Biscay,Yearling,-8.930,-0.793,East
2011,Bay of Biscay,Yearling,-8.664,-0.793,East
2011,Bay of Biscay,Yearling,-8.885,-0.779,East
2011,Bay of Biscay,Yearling,-8.326,-0.776,East
2011,Bay of Biscay,Yearling,-9.391,-0.770,East
2011,Bay of Biscay,Yearling,-8.014,-0.756,East
2011,Bay of Biscay,Yearling,-8.698,-0.692,East
2011,Bay of Biscay,Yearling,-8.971,-0.606,East
2011,Bay of Biscay,Yearling,-8.176,-0.603,East
2011,Bay of Biscay,Yearling,-8.453,-0.595,East
2011,Bay of Biscay,Yearling,-9.157,-0.591,East
2011,Bay of Biscay,Yearling,-8.423,-0.579,East
2011,Bay of Biscay,Yearling,-8.783,-0.507,East
2011,Bay of Biscay,Yearling,-7.579,-0.470,East
2011,Bay of Biscay,Yearling,-8.414,-0.415,East
2009,Bay of Biscay,Yearling,-8.940,-0.819,East
2009,Bay of Biscay,Yearling,-8.141,-0.673,East
2009,Bay of Biscay,Yearling,-8.539,-0.602,East
2011,Bay of Biscay,Yearling,-9.217,-1.052,East
2011,Bay of Biscay,Yearling,-9.038,-0.935,East
2011,Bay of Biscay,Yearling,-9.134,-0.892,East
2011,Bay of Biscay,Yearling,-8.999,-0.785,East
2011,Bay of Biscay,Yearling,-9.256,-0.761,East
2011,Bay of Biscay,Yearling,-9.296,-0.710,East
2011,Bay of Biscay,Yearling,-7.917,-0.674,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.586,-1.286,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.550,-1.272,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.222,-1.148,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.789,-1.126,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.492,-1.103,East
2006,Ionian/Tyrrhenian Sea,Yearling,-7.966,-0.978,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.122,-0.947,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.055,-0.923,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.183,-0.894,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.140,-0.883,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.238,-0.875,East
2006,Ionian/Tyrrhenian Sea,Yearling,-7.772,-0.855,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.417,-0.848,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.175,-0.836,East
2006,Ionian/Tyrrhenian Sea,Yearling,-8.769,-0.830,East
2007,Ionian/Tyrrhenian Sea,Yearling,-8.898,-1.065,East
2007,Ionian/Tyrrhenian Sea,Yearling,-9.819,-0.973,East
2007,Ionian/Tyrrhenian Sea,Yearling,-7.796,-0.937,East
2007,Ionian/Tyrrhenian Sea,Yearling,-8.837,-0.929,East
2007,Ionian/Tyrrhenian Sea,Yearling,-8.208,-0.825,East
2007,Ionian/Tyrrhenian Sea,Yearling,-8.525,-0.782,East
