"CBL ID","Decade","Year of Capture","Month","Day","Season","Region","State","Gear","Rec/Comm","Final Age","Age Group","CFL (cm)","CFL (in)","Size Group","d13C VPDB","d18O VPDB","First Year","Year Class","Year shift","d13C slope","d13C change","Suess d13C","final d18O","abs Suess C","abs final O","Origin.East","Origin.West"
"1974_MA_1","1970s",1974,8,20,"Q3","MA","MD","PURSE SEINE","Comm",6,"Juvenile",152.0862,59.8764566929134,"LS/SM",-8.25921645104379,-1.54402768356803,2006,1968,38,-0.0394,-1.4972,-9.75641645104379,-1.54402768356803,9.75641645104379,1.54402768356803,0.08,0.92
"1974_MA_3","1970s",1974,10,10,"Q4","MA","MD","PURSE SEINE","Comm",6,"Juvenile",174.7242,68.7890551181102,"LS/SM",-8.34394570925531,-1.31667277294975,2006,1968,38,-0.0394,-1.4972,-9.84114570925531,-1.31667277294975,9.84114570925531,1.31667277294975,0.21,0.79
"1975_MA_1","1970s",1975,7,7,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",73.7793,29.046968503937,"YS/School",-7.55707258316621,-1.61917950992294,2006,1973,33,-0.0394,-1.3002,-8.85727258316621,-1.61917950992294,8.85727258316621,1.61917950992294,0.016,0.984
"1975_MA_10","1970s",1975,7,8,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",72.5445,28.5608267716535,"YS/School",-7.3530699624432,-1.33608849054662,2006,1972,34,-0.0394,-1.3396,-8.6926699624432,-1.33608849054662,8.6926699624432,1.33608849054662,0.11,0.89
"1975_MA_11","1970s",1975,7,8,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",77.7924,30.6269291338583,"YS/School",-8.19461705635573,-0.868896797084206,2006,1973,33,-0.0394,-1.3002,-9.49481705635573,-0.868896797084206,9.49481705635573,0.868896797084206,0.888,0.112
"1975_MA_12","1970s",1975,7,8,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",73.1619,28.8038976377953,"YS/School",-8.08069972091365,-1.82580387697303,2006,1973,33,-0.0394,-1.3002,-9.38089972091365,-1.82580387697303,9.38089972091365,1.82580387697303,0.054,0.946
"1975_MA_13","1970s",1975,7,8,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",76.3518,30.0597637795276,"YS/School",-7.31085653266604,-1.07157577716397,2006,1972,34,-0.0394,-1.3396,-8.65045653266604,-1.07157577716397,8.65045653266604,1.07157577716397,0.382,0.618
"1975_MA_14","1970s",1975,7,8,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",79.0272,31.1130708661417,"YS/School",-7.88496058012547,-0.807903621697357,2006,1973,33,-0.0394,-1.3002,-9.18516058012547,-0.807903621697357,9.18516058012547,0.807903621697357,0.852,0.148
"1975_MA_15","1970s",1975,7,8,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",77.9982,30.7079527559055,"YS/School",-7.51203418694938,-1.57611253331486,2006,1973,33,-0.0394,-1.3002,-8.81223418694938,-1.57611253331486,8.81223418694938,1.57611253331486,0.024,0.976
"1975_MA_159","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",4,"Juvenile",126.687,49.8767716535433,"LS/SM",-7.33460041284811,-1.64978660291617,2006,1971,35,-0.0394,-1.379,-8.71360041284811,-1.64978660291617,8.71360041284811,1.64978660291617,0.006,0.994
"1975_MA_16","1970s",1975,7,9,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",79.9908,31.4924409448819,"YS/School",-7.34948144999822,-1.33306036996947,2006,1973,33,-0.0394,-1.3002,-8.64968144999822,-1.33306036996947,8.64968144999822,1.33306036996947,0.078,0.922
"1975_MA_160","1970s",1975,7,28,"Q3","MA","MD","PURSE SEINE","Comm",6,"Juvenile",165.0072,64.9634645669291,"LS/SM",-7.54666161408609,-1.61604851556149,2006,1969,37,-0.0394,-1.4578,-9.00446161408609,-1.61604851556149,9.00446161408609,1.61604851556149,0.088,0.912
"1975_MA_161","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",4,"Juvenile",109.935,43.2814960629921,"YS/School",-8.02248467651747,-1.10747860415373,2006,1971,35,-0.0394,-1.379,-9.40148467651747,-1.10747860415373,9.40148467651747,1.10747860415373,0.43,0.57
"1975_MA_162","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",4,"Juvenile",107.6316,42.3746456692913,"YS/School",-7.73662074373389,-1.50450343048303,2006,1971,35,-0.0394,-1.379,-9.11562074373389,-1.50450343048303,9.11562074373389,1.50450343048303,0,1
"1975_MA_163","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",120.9285,47.6096456692913,"LS/SM",-8.11596698303955,-1.03584847633721,2006,1972,34,-0.0394,-1.3396,-9.45556698303955,-1.03584847633721,9.45556698303955,1.03584847633721,0.066,0.934
"1975_MA_164","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",4,"Juvenile",127.734,50.2889763779527,"LS/SM",-8.17826152275728,-1.52184809257341,2006,1971,35,-0.0394,-1.379,-9.55726152275728,-1.52184809257341,9.55726152275728,1.52184809257341,0.132,0.868
"1975_MA_165","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",106.794,42.0448818897638,"YS/School",-8.36687049042204,-1.06799979207638,2006,1972,34,-0.0394,-1.3396,-9.70647049042205,-1.06799979207638,9.70647049042205,1.06799979207638,0.382,0.618
"1975_MA_166","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",5,"Juvenile",106.6893,42.0036614173228,"YS/School",-7.81572661131711,-1.70573675734727,2006,1970,36,-0.0394,-1.4184,-9.23412661131711,-1.70573675734727,9.23412661131711,1.70573675734727,0.074,0.926
"1975_MA_167","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",5,"Juvenile",141.4497,55.6888582677165,"LS/SM",-8.33286688787773,-1.35705984166318,2006,1970,36,-0.0394,-1.4184,-9.75126688787773,-1.35705984166318,9.75126688787773,1.35705984166318,0.08,0.92
"1975_MA_17","1970s",1975,7,9,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",77.5866,30.545905511811,"YS/School",-7.68053240102952,-0.881541654301002,2006,1973,33,-0.0394,-1.3002,-8.98073240102952,-0.881541654301002,8.98073240102952,0.881541654301002,0.916,0.084
"1975_MA_18","1970s",1975,7,9,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",82.4229,32.4499606299213,"YS/School",-7.36963155410416,-0.854044193555988,2006,1973,33,-0.0394,-1.3002,-8.66983155410416,-0.854044193555988,8.66983155410416,0.854044193555988,0.858,0.142
"1975_MA_19","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",75.5286,29.7356692913386,"YS/School",-7.09763254279483,-1.8488757569182,2006,1973,33,-0.0394,-1.3002,-8.39783254279483,-1.8488757569182,8.39783254279483,1.8488757569182,0.052,0.948
"1975_MA_2","1970s",1975,7,7,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",75.6315,29.7761811023622,"YS/School",-7.49133354346652,-1.33141042491627,2006,1973,33,-0.0394,-1.3002,-8.79153354346652,-1.33141042491627,8.79153354346652,1.33141042491627,0.158,0.842
"1975_MA_20","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",78.9243,31.0725590551181,"YS/School",-8.5283169833003,-1.50854530440599,2006,1972,34,-0.0394,-1.3396,-9.8679169833003,-1.50854530440599,9.8679169833003,1.50854530440599,0.202,0.798
"1975_MA_21","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",74.7054,29.4115748031496,"YS/School",-7.94398724449234,-1.20726095632932,2006,1973,33,-0.0394,-1.3002,-9.24418724449234,-1.20726095632932,9.24418724449234,1.20726095632932,0.086,0.914
"1975_MA_22","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",74.8083,29.4520866141732,"YS/School",-8.22235375424762,-1.97249124217348,2006,1973,33,-0.0394,-1.3002,-9.52255375424762,-1.97249124217348,9.52255375424762,1.97249124217348,0.132,0.868
"1975_MA_23","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",74.1909,29.2090157480315,"YS/School",-7.33483250652842,-1.90803411127798,2006,1973,33,-0.0394,-1.3002,-8.63503250652842,-1.90803411127798,8.63503250652842,1.90803411127798,0.01,0.99
"1975_MA_24","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",79.233,31.194094488189,"YS/School",-7.6708482710451,-0.85294458336205,2006,1973,33,-0.0394,-1.3002,-8.9710482710451,-0.85294458336205,8.9710482710451,0.85294458336205,0.762,0.238
"1975_MA_25","1970s",1975,7,22,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",74.6025,29.371062992126,"YS/School",-7.2042808626379,-1.61623272996118,2006,1973,33,-0.0394,-1.3002,-8.5044808626379,-1.61623272996118,8.5044808626379,1.61623272996118,0.01,0.99
"1975_MA_26","1970s",1975,7,28,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",82.1142,32.3284251968504,"YS/School",-7.32698502393096,-1.63515812379751,2006,1972,34,-0.0394,-1.3396,-8.66658502393096,-1.63515812379751,8.66658502393096,1.63515812379751,0.006,0.994
"1975_MA_27","1970s",1975,7,28,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",73.9851,29.1279921259843,"YS/School",-7.72281191581133,-1.57392502688895,2006,1973,33,-0.0394,-1.3002,-9.02301191581133,-1.57392502688895,9.02301191581133,1.57392502688895,0.116,0.884
"1975_MA_28","1970s",1975,7,28,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",76.6605,30.1812992125984,"YS/School",-6.99936286924291,-1.50856262479005,2006,1973,33,-0.0394,-1.3002,-8.29956286924291,-1.50856262479005,8.29956286924291,1.50856262479005,0.058,0.942
"1975_MA_29","1970s",1975,7,28,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",74.8083,29.4520866141732,"YS/School",-7.60849263509854,-1.60625208571953,2006,1973,33,-0.0394,-1.3002,-8.90869263509854,-1.60625208571953,8.90869263509854,1.60625208571953,0.064,0.936
"1975_MA_3","1970s",1975,7,7,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",76.8663,30.2623228346457,"YS/School",-7.93049039590634,-2.00308780032053,2006,1973,33,-0.0394,-1.3002,-9.23069039590634,-2.00308780032053,9.23069039590634,2.00308780032053,0.074,0.926
"1975_MA_30","1970s",1975,7,28,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",77.3808,30.4648818897638,"YS/School",-7.40632487957256,-1.77496656957664,2006,1973,33,-0.0394,-1.3002,-8.70652487957256,-1.77496656957664,8.70652487957256,1.77496656957664,0.01,0.99
"1975_MA_31","1970s",1975,7,28,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",74.2938,29.2495275590551,"YS/School",-7.1175129030455,-1.65978112320957,2006,1973,33,-0.0394,-1.3002,-8.4177129030455,-1.65978112320957,8.4177129030455,1.65978112320957,0.072,0.928
"1975_MA_32","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",100.4304,39.5395275590551,"YS/School",-6.92858595434121,-1.66953496332161,2006,1972,34,-0.0394,-1.3396,-8.26818595434121,-1.66953496332161,8.26818595434121,1.66953496332161,0.018,0.982
"1975_MA_33","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",78.4098,30.87,"YS/School",-7.73363887719429,-1.39307353926505,2006,1973,33,-0.0394,-1.3002,-9.03383887719429,-1.39307353926505,9.03383887719429,1.39307353926505,0.174,0.826
"1975_MA_34","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",77.8953,30.6674409448819,"YS/School",-7.40603227004437,-1.78490395209349,2006,1973,33,-0.0394,-1.3002,-8.70623227004437,-1.78490395209349,8.70623227004437,1.78490395209349,0.01,0.99
"1975_MA_35","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",100.842,39.7015748031496,"YS/School",-7.30880838589445,-0.906878011201445,2006,1972,34,-0.0394,-1.3396,-8.64840838589445,-0.906878011201445,8.64840838589445,0.906878011201445,0.962,0.038
"1975_MA_36","1970s",1975,8,5,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",75.2199,29.6141338582677,"YS/School",-7.35204442094696,-1.59237048287234,2006,1973,33,-0.0394,-1.3002,-8.65224442094696,-1.59237048287234,8.65224442094696,1.59237048287234,0.01,0.99
"1975_MA_37","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",76.6605,30.1812992125984,"YS/School",-7.29822721674474,-1.79010011043342,2006,1973,33,-0.0394,-1.3002,-8.59842721674474,-1.79010011043342,8.59842721674474,1.79010011043342,0.004,0.996
"1975_MA_38","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",1,"Juvenile",55.566,21.8763779527559,"YS/School",-7.9628979138814,-1.31376308560455,2006,1974,32,-0.0394,-1.2608,-9.2236979138814,-1.31376308560455,9.2236979138814,1.31376308560455,0.092,0.908
"1975_MA_39","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",77.175,30.3838582677165,"YS/School",-7.24467235090197,-1.46579189241925,2006,1973,33,-0.0394,-1.3002,-8.54487235090197,-1.46579189241925,8.54487235090197,1.46579189241925,0.072,0.928
"1975_MA_4","1970s",1975,7,7,"Q3","MA","MD","PURSE SEINE","Comm",3,"Juvenile",75.3228,29.6546456692913,"YS/School",-7.87920521483312,-1.62512110458825,2006,1972,34,-0.0394,-1.3396,-9.21880521483312,-1.62512110458825,9.21880521483312,1.62512110458825,0.074,0.926
"1975_MA_40","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",1,"Juvenile",58.0356,22.8486614173228,"YS/School",-7.88276076635887,-1.59239251500838,2006,1974,32,-0.0394,-1.2608,-9.14356076635887,-1.59239251500838,9.14356076635887,1.59239251500838,0.006,0.994
"1975_MA_41","1970s",1975,8,6,"Q3","MA","MD","PURSE SEINE","Comm",2,"Juvenile",75.7344,29.8166929133858,"YS/School",-7.32681554679191,-1.79357162174576,2006,1973,33,-0.0394,-1.3002,-8.62701554679191,-1.79357162174576,8.62701554679191,1.79357162174576,0.004,0.996
